Region,2017 rates for eligible amount up to $200,2017 rates for eligible amount over $200,2016 rates for eligible amount up to $200,2016 rates for eligible amount over $200
CA,0.15,0.29,0.15,0.29
AB,0.10,0.21,0.10,0.21
BC,0.05,0.15,0.05,0.15
MB,0.11,0.17,0.11,0.17
NB,0.10,0.18,0.10,0.18
NL,0.09,0.18,0.08,0.17
NS,0.09,0.21,0.09,0.21
NT,0.06,0.14,0.06,0.14
NU,0.04,0.12,0.04,0.12
ON,0.05,0.11,0.05,0.11
PE,0.10,0.17,0.10,0.17
QC,0.20,0.24,0.20,0.24
SK,0.11,0.15,0.11,0.15
YT,0.06,0.13,0.06,0.13
